BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,8.62,26.76,57.15,98.43,147.87
54.43,11.34,31.3,63.05,106.59,157.85
58.97,13.61,35.38,69.4,114.31,167.83
63.5,16.33,39.92,75.3,122.02,176.9
68.04,19.05,44,80.74,128.82,185.52
72.57,21.77,48.08,86.64,136.08,193.68
77.11,24.49,52.16,91.63,142.88,201.85
81.65,27.22,56.25,97.07,149.23,209.11
86.18,29.94,59.87,102.06,155.58,216.82
90.72,32.66,63.5,107.05,161.48,223.62
95.25,35.38,67.13,111.58,167.38,230.88
99.79,38.1,70.76,116.57,172.82,237.23
104.33,40.82,74.39,120.66,178.26,243.58
108.86,43.09,78.02,125.19,183.7,249.93
113.4,45.81,81.19,129.73,189.15,256.28
117.93,48.08,84.82,133.81,194.14,262.18
122.47,50.8,88,137.89,199.13,267.62
127.01,53.07,91.17,141.97,203.66,273.52
131.54,55.79,94.35,146.06,208.65,278.96
136.08,58.06,97.52,149.69,213.19,283.95
140.61,60.33,100.7,153.31,217.72,289.39
