BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,20.87,40.37,67.59,102.06,141.07
54.43,23.59,44.45,73.03,108.41,148.78
58.97,26.76,48.53,78.02,114.76,156.49
63.5,29.48,52.16,83.01,120.66,163.29
68.04,32.66,56.25,87.54,126.1,169.64
72.57,35.38,59.87,92.08,131.54,175.99
77.11,38.1,63.05,96.62,136.98,181.89
81.65,40.37,66.68,100.7,141.97,187.79
86.18,43.09,69.85,104.78,146.51,193.23
90.72,45.81,73.03,108.41,151.05,198.22
95.25,48.08,76.2,112.49,155.58,203.66
99.79,50.35,79.38,116.12,160.12,208.2
104.33,53.07,82.1,119.75,164.2,213.19
108.86,55.34,84.82,122.92,168.28,217.72
113.4,57.61,87.54,126.55,171.91,222.26
117.93,59.87,90.26,129.73,175.99,226.34
122.47,61.69,92.99,132.9,179.62,230.88
127.01,63.96,95.71,136.08,183.25,234.96
131.54,66.22,98.43,138.8,186.88,238.59
136.08,68.04,100.7,141.97,190.06,242.67
140.61,69.85,103.42,144.7,193.23,246.3
