BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,14.97,25.85,41.28,59.87,80.74
54.43,18.14,30.84,47.17,66.68,88.9
58.97,22.23,35.38,52.62,73.48,96.62
63.5,25.85,39.92,58.51,80.29,104.33
68.04,29.48,44.45,63.96,86.64,111.58
72.57,33.11,48.99,68.95,92.53,118.39
77.11,36.74,53.52,74.39,98.88,125.19
81.65,40.37,57.61,79.38,104.78,132
86.18,44,62.14,84.37,110.22,138.35
90.72,47.17,66.22,89.36,115.67,144.24
95.25,50.8,70.31,93.89,121.11,150.59
99.79,54.43,74.39,98.88,126.55,156.49
104.33,57.61,78.47,103.42,131.54,161.93
108.86,60.78,82.1,107.5,136.53,167.38
113.4,64.41,85.73,112.04,141.52,172.82
117.93,67.59,89.81,116.12,146.51,178.26
122.47,70.76,93.44,120.66,151.05,183.25
127.01,73.94,97.07,124.74,155.58,188.69
131.54,77.11,100.7,128.37,160.12,193.23
136.08,79.83,103.87,132.45,164.65,198.22
140.61,83.01,107.5,136.53,168.74,203.21
