BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,11.79,22.68,37.65,56.7,78.47
54.43,13.61,24.95,41.28,60.78,83.46
58.97,15.42,27.67,44.45,64.86,88
63.5,17.24,29.94,47.63,68.49,92.53
68.04,19.05,32.66,50.35,72.12,96.62
72.57,20.87,34.93,53.52,75.75,100.7
77.11,22.68,37.19,56.25,78.93,104.33
81.65,24.49,39.46,58.97,82.1,107.95
86.18,26.31,41.73,61.23,85.28,111.58
90.72,27.67,43.54,63.96,88.45,115.21
95.25,29.48,45.81,66.22,91.17,118.39
99.79,30.84,47.63,68.95,93.89,121.56
104.33,32.66,49.44,71.21,96.62,124.74
108.86,34.02,51.26,73.48,99.34,127.46
113.4,35.38,53.07,75.75,101.6,130.63
117.93,37.19,54.88,77.56,104.33,133.36
122.47,38.56,56.7,79.83,106.59,136.08
127.01,39.92,58.51,81.65,108.86,138.8
131.54,41.28,60.33,83.91,111.13,141.07
136.08,42.64,61.69,85.73,113.4,143.79
140.61,44,63.5,87.54,115.67,146.06
