BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,4.99,14.97,31.75,54.88,82.1
54.43,6.8,18.14,36.29,60.33,89.36
58.97,8.62,21.32,40.37,65.77,95.71
63.5,10.43,24.49,44.91,71.21,102.06
68.04,12.7,27.22,48.99,76.2,108.41
72.57,14.51,30.39,52.62,81.19,114.31
77.11,16.78,33.11,56.7,86.18,119.75
81.65,19.05,36.29,60.33,90.72,125.19
86.18,20.87,39.01,63.96,95.25,130.63
90.72,23.13,41.73,67.59,99.34,135.62
95.25,24.95,44.45,71.21,103.87,140.61
99.79,27.22,47.17,74.39,107.95,145.6
104.33,29.03,49.9,78.02,112.04,150.14
108.86,31.3,52.62,81.19,115.67,154.67
113.4,33.11,55.34,84.37,119.75,158.76
117.93,34.93,57.61,87.54,123.38,163.29
122.47,37.19,60.33,90.72,127.01,167.38
127.01,39.01,62.6,93.44,130.63,171.46
131.54,40.82,65.32,96.62,133.81,175.54
136.08,42.64,67.59,99.34,137.44,179.62
140.61,44.91,69.85,102.06,140.61,183.25
