BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,14.97,24.04,36.29,50.35,65.77
54.43,18.14,28.12,40.37,55.34,72.12
58.97,20.87,31.75,44.91,60.78,78.02
63.5,24.04,35.38,48.99,65.77,83.46
68.04,26.76,38.56,53.52,70.31,88.9
72.57,29.94,42.18,57.15,74.84,93.89
77.11,32.66,45.36,61.23,79.38,98.88
81.65,35.38,48.53,64.86,83.46,103.42
86.18,38.1,52.16,68.95,88,108.41
90.72,40.82,54.88,72.12,92.08,112.94
95.25,43.54,58.06,75.75,95.71,117.03
99.79,46.27,61.23,79.38,99.79,121.56
104.33,48.53,63.96,82.55,103.42,125.65
108.86,51.26,67.13,85.73,107.05,129.73
113.4,53.52,69.85,88.9,110.68,133.36
117.93,56.25,72.57,92.08,114.31,137.44
122.47,58.51,75.3,95.25,117.48,141.07
127.01,60.78,78.02,97.98,120.66,144.7
131.54,63.05,80.74,101.15,123.83,148.32
136.08,65.32,83.01,103.87,127.01,151.5
140.61,67.59,85.73,106.59,130.18,155.13
