BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,10.43,22.68,40.82,63.96,91.17
54.43,12.7,25.85,44.91,68.95,97.07
58.97,14.51,29.03,48.99,73.94,102.97
63.5,16.78,31.75,52.62,78.47,108.41
68.04,19.05,34.47,56.25,83.01,113.4
72.57,20.87,37.19,59.87,87.54,118.39
77.11,23.13,39.92,63.05,91.63,123.38
81.65,24.95,42.64,66.68,95.25,127.91
86.18,26.76,45.36,69.85,99.34,132.45
90.72,29.03,48.08,72.57,102.97,136.53
95.25,30.84,50.35,75.75,106.59,140.61
99.79,32.66,52.62,78.93,110.22,144.7
104.33,34.47,54.88,81.65,113.4,148.78
108.86,36.29,57.15,84.37,116.57,152.41
113.4,38.1,59.42,87.09,119.75,156.04
117.93,39.92,61.69,89.81,122.92,159.66
122.47,41.73,63.96,92.53,126.1,162.84
127.01,43.54,66.22,94.8,128.82,166.47
131.54,44.91,68.04,97.52,132,169.64
136.08,46.72,70.31,99.79,134.72,172.82
140.61,48.53,72.12,102.06,137.44,175.99
