BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,< 1,< 1,11,28,49
54.43,< 1,< 1,11,28,47
58.97,< 1,< 1,11,28,46
63.5,< 1,< 1,11,27,44
68.04,< 1,< 1,11,26,43
72.57,< 1,< 1,11,26,42
77.11,< 1,< 1,11,25,40
81.65,< 1,< 1,11,24,39
86.18,< 1,< 1,10,24,38
90.72,< 1,< 1,10,23,37
95.25,< 1,< 1,10,22,36
99.79,< 1,< 1,10,21,35
104.33,< 1,< 1,9,21,34
108.86,< 1,< 1,9,20,33
113.4,< 1,< 1,9,20,32
117.93,< 1,< 1,9,19,31
122.47,< 1,< 1,8,18,30
127.01,< 1,< 1,8,18,29
131.54,< 1,< 1,8,17,28
136.08,< 1,< 1,8,17,27
140.61,< 1,< 1,7,16,26
