BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,24.49,37.19,53.07,71.67,92.08
54.43,28.58,42.18,58.97,78.93,100.24
58.97,33.11,47.17,64.86,85.73,107.95
63.5,37.19,52.16,70.76,92.08,115.21
68.04,40.82,56.7,76.2,98.43,122.02
72.57,44.91,61.23,81.65,104.33,128.82
77.11,48.99,65.77,86.64,110.22,135.17
81.65,52.62,70.31,91.63,115.67,141.52
86.18,56.25,74.84,96.62,121.56,147.42
90.72,59.87,78.93,101.15,126.55,153.31
95.25,63.5,83.01,106.14,132,159.21
99.79,67.13,87.09,110.68,136.98,164.65
104.33,70.31,90.72,114.76,141.52,170.1
108.86,73.94,94.8,119.29,146.51,175.09
113.4,77.11,98.43,123.38,151.05,180.53
117.93,80.29,102.06,127.46,155.58,185.07
122.47,83.46,105.69,131.54,160.12,190.06
127.01,86.64,108.86,135.17,164.2,194.59
131.54,89.81,112.49,139.25,168.74,199.13
136.08,92.53,115.67,142.88,172.82,203.66
140.61,95.71,119.29,146.51,176.9,208.2
