BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,21.32,42.64,73.48,112.49,157.85
54.43,27.22,51.26,84.37,125.65,173.27
58.97,33.11,59.42,94.8,138.8,188.24
63.5,39.46,67.59,105.23,151.05,202.3
68.04,45.81,75.75,115.21,162.84,216.36
72.57,51.71,83.46,124.74,174.63,229.52
77.11,58.06,91.63,134.72,185.97,242.67
81.65,64.41,99.34,143.79,196.86,254.92
86.18,70.31,106.59,152.86,207.29,267.17
90.72,76.66,114.31,161.93,217.72,278.96
95.25,82.55,121.56,170.55,227.7,290.3
99.79,88.45,128.82,179.17,237.68,301.64
104.33,94.35,136.08,187.33,247.21,312.07
108.86,100.24,142.88,195.5,256.73,322.5
113.4,106.14,149.69,203.66,265.81,332.94
117.93,111.58,156.49,211.37,274.88,342.92
122.47,117.48,163.29,219.09,283.5,352.89
127.01,122.92,169.64,226.8,292.11,362.42
131.54,128.37,175.99,234.05,300.28,371.49
136.08,133.81,182.34,241.31,308.9,380.56
140.61,138.8,188.24,248.57,316.61,389.64
