BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,17.24,29.03,45.36,64.86,87.09
54.43,19.96,32.66,49.9,70.31,93.44
58.97,22.68,36.29,53.98,75.3,98.88
63.5,25.4,39.46,58.06,80.29,104.78
68.04,27.67,43.09,62.14,84.82,109.77
72.57,30.39,46.27,65.77,89.36,114.76
77.11,33.11,48.99,69.4,93.44,119.75
81.65,35.38,52.16,73.03,97.52,124.28
86.18,37.65,54.88,76.66,101.6,128.82
90.72,40.37,58.06,79.83,105.69,133.36
95.25,42.64,60.78,83.01,109.32,137.44
99.79,44.91,63.5,86.18,112.94,141.52
104.33,47.17,66.22,89.36,116.57,145.6
108.86,48.99,68.49,92.53,119.75,149.23
113.4,51.26,71.21,95.25,123.38,152.86
117.93,53.52,73.48,98.43,126.55,156.49
122.47,55.34,76.2,101.15,129.73,160.12
127.01,57.61,78.47,103.87,132.45,163.75
131.54,59.42,80.74,106.59,135.62,166.92
136.08,61.23,83.01,108.86,138.8,170.1
140.61,63.5,85.28,111.58,141.52,173.27
