BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,22.23,36.29,53.98,75.75,100.24
54.43,25.85,40.82,59.87,82.55,107.5
58.97,29.48,45.36,65.32,88.9,115.21
63.5,33.11,49.9,70.76,95.25,122.02
68.04,36.74,53.98,75.75,101.15,128.82
72.57,40.37,58.06,80.74,107.05,135.17
77.11,43.54,62.14,85.73,112.49,141.52
81.65,47.17,66.22,90.26,117.48,147.42
86.18,50.35,70.31,94.8,122.92,153.31
90.72,53.52,73.94,98.88,127.91,158.76
95.25,56.7,77.56,103.42,132.45,164.2
99.79,59.87,81.19,107.5,137.44,169.19
104.33,62.6,84.82,111.58,141.97,174.18
108.86,65.77,88,115.67,146.51,179.17
113.4,68.49,91.63,119.29,150.59,184.16
117.93,71.21,94.8,122.92,154.67,188.69
122.47,74.39,97.98,126.55,158.76,193.23
127.01,77.11,101.15,130.18,162.84,197.77
131.54,79.83,104.33,133.81,166.92,201.85
136.08,82.1,107.5,136.98,170.55,205.93
140.61,84.82,110.22,140.61,174.63,210.01
