BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,4.54,13.15,26.31,44,65.32
54.43,5.9,14.97,29.03,47.63,69.85
58.97,7.26,16.78,31.75,51.26,73.94
63.5,8.16,18.6,34.47,54.43,77.56
68.04,9.53,20.87,36.74,57.61,81.65
72.57,10.89,22.68,39.01,60.33,85.28
77.11,12.25,24.49,41.73,63.5,88.45
81.65,13.15,25.85,44,66.22,91.63
86.18,14.51,27.67,45.81,68.95,94.8
90.72,15.88,29.48,48.08,71.67,97.98
95.25,16.78,30.84,50.35,73.94,101.15
99.79,18.14,32.66,52.16,76.66,103.87
104.33,19.5,34.02,54.43,78.93,106.59
108.86,20.41,35.83,56.25,81.19,109.32
113.4,21.77,37.19,58.06,83.46,112.04
117.93,22.68,38.56,59.87,85.73,114.31
122.47,24.04,39.92,61.69,87.54,117.03
127.01,24.95,41.73,63.5,89.81,119.29
131.54,25.85,43.09,65.32,92.08,121.56
136.08,27.22,44.45,66.68,93.89,123.83
140.61,28.12,45.81,68.49,95.71,126.1
