BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,3.63,13.15,29.94,53.52,82.55
54.43,4.99,15.42,33.57,58.06,88
58.97,5.9,17.69,36.74,62.14,92.99
63.5,7.26,19.96,39.46,66.22,97.52
68.04,8.62,21.77,42.64,69.85,102.06
72.57,9.98,24.04,45.36,73.48,106.59
77.11,11.34,25.85,48.08,77.11,110.68
81.65,12.25,28.12,50.8,80.29,114.76
86.18,13.61,29.94,53.52,83.46,118.84
90.72,14.97,31.75,55.79,86.64,122.47
95.25,16.33,33.57,58.51,89.81,126.1
99.79,17.69,35.38,60.78,92.53,129.73
104.33,19.05,37.19,63.05,95.71,132.9
108.86,19.96,39.01,65.32,98.43,136.08
113.4,21.32,40.82,67.59,101.15,139.71
117.93,22.68,42.18,69.85,103.87,142.43
122.47,23.59,44,71.67,106.14,145.6
127.01,24.95,45.81,73.94,108.86,148.32
131.54,26.31,47.17,75.75,111.13,151.5
136.08,27.22,48.99,78.02,113.85,154.22
140.61,28.58,50.35,79.83,116.12,156.94
