BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,23.59,37.65,55.79,77.56,101.6
54.43,26.76,41.73,61.23,83.91,108.86
58.97,30.39,46.27,66.22,89.81,115.67
63.5,33.57,50.35,71.21,95.71,122.02
68.04,37.19,54.43,75.75,101.15,128.37
72.57,40.37,58.06,80.29,106.14,134.26
77.11,43.54,61.69,84.82,111.13,140.16
81.65,46.27,65.32,88.9,116.12,145.6
86.18,49.44,68.95,92.99,121.11,150.59
90.72,52.16,72.57,97.07,125.65,155.58
95.25,55.34,75.75,101.15,129.73,160.57
99.79,58.06,79.38,104.78,134.26,165.56
104.33,60.78,82.55,108.41,138.35,170.1
108.86,63.5,85.28,112.04,142.43,174.63
113.4,66.22,88.45,115.67,146.06,178.72
117.93,68.49,91.63,118.84,150.14,183.25
122.47,71.21,94.35,122.47,153.77,187.33
127.01,73.48,97.07,125.65,157.4,191.42
131.54,76.2,100.24,128.82,161.03,195.04
136.08,78.47,102.97,132,164.65,199.13
140.61,80.74,105.69,134.72,167.83,202.76
