BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,8.16,28.58,63.5,112.04,171
54.43,10.43,33.11,69.85,120.2,181.44
58.97,13.15,37.19,76.2,128.37,190.96
63.5,15.42,41.73,82.1,136.08,200.49
68.04,18.14,45.81,88,143.79,209.56
72.57,20.87,49.9,93.44,150.59,218.18
77.11,23.59,53.52,98.88,157.4,226.34
81.65,25.85,57.61,103.87,164.2,234.05
86.18,28.58,61.23,108.86,170.55,241.76
90.72,30.84,64.86,113.85,176.45,249.02
95.25,33.57,68.49,118.84,182.34,255.83
99.79,35.83,72.12,123.38,188.24,262.63
104.33,38.56,75.75,127.91,193.68,269.43
108.86,40.82,78.93,132.45,199.13,275.78
113.4,43.54,82.55,136.53,204.57,281.68
117.93,45.81,85.73,140.61,209.56,288.03
122.47,48.08,88.9,144.7,214.55,293.93
127.01,50.35,92.08,148.78,219.54,299.37
131.54,52.62,94.8,152.86,224.07,304.81
136.08,54.88,97.98,156.49,228.61,310.26
140.61,57.15,101.15,160.12,233.15,315.7
