BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,4.08,8.16,14.51,22.68,32.21
54.43,4.54,9.53,15.88,24.49,34.02
58.97,5.44,10.43,17.24,25.85,36.29
63.5,5.9,11.34,18.6,27.67,38.1
68.04,6.8,12.25,19.96,29.03,39.46
72.57,7.26,13.15,20.87,30.39,41.28
77.11,8.16,14.06,22.23,31.75,42.64
81.65,8.62,14.97,23.13,33.11,44.45
86.18,9.53,15.88,24.04,34.47,45.81
90.72,9.98,16.78,25.4,35.83,47.17
95.25,10.89,17.24,26.31,36.74,48.53
99.79,11.34,18.14,27.22,38.1,49.9
104.33,11.79,19.05,28.12,39.01,51.26
108.86,12.7,19.96,29.03,39.92,52.16
113.4,13.15,20.41,29.94,41.28,53.52
117.93,13.61,21.32,30.84,42.18,54.88
122.47,14.06,21.77,31.75,43.09,55.79
127.01,14.97,22.68,32.66,44,56.7
131.54,15.42,23.13,33.11,44.91,58.06
136.08,15.88,24.04,34.02,45.81,58.97
140.61,16.33,24.49,34.93,46.72,59.87
