BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,14.51,24.49,37.65,53.07,70.76
54.43,17.69,28.12,41.73,58.51,76.66
58.97,20.41,31.75,46.27,63.5,82.1
63.5,23.13,34.93,50.35,68.04,88
68.04,25.85,38.56,54.43,73.03,92.99
72.57,28.58,41.73,58.06,77.11,97.98
77.11,31.3,44.91,61.69,81.65,102.97
81.65,34.02,48.08,65.77,85.73,107.95
86.18,36.29,51.26,68.95,89.81,112.49
90.72,39.01,53.98,72.57,93.89,116.57
95.25,41.28,57.15,76.2,97.52,121.11
99.79,44,59.87,79.38,101.6,125.19
104.33,46.27,62.6,82.55,105.23,129.27
108.86,48.53,65.32,85.73,108.41,132.9
113.4,50.8,68.04,88.9,112.04,136.98
117.93,53.07,70.76,91.63,115.21,140.61
122.47,55.34,73.03,94.8,118.84,144.24
127.01,57.61,75.75,97.52,122.02,147.87
131.54,59.87,78.47,100.24,125.19,151.05
136.08,61.69,80.74,102.97,127.91,154.67
140.61,63.96,83.01,105.69,131.09,157.85
