BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,0.45,7.71,26.31,56.25,95.25
54.43,0.91,9.98,30.84,62.6,103.42
58.97,1.81,12.7,35.38,68.95,111.58
63.5,2.72,15.42,39.92,75.3,119.29
68.04,4.08,18.14,44,81.19,127.01
72.57,5.44,21.32,48.53,87.09,133.81
77.11,6.8,24.04,52.62,92.53,141.07
81.65,8.62,26.76,56.7,97.98,147.42
86.18,9.98,29.48,60.78,103.42,154.22
90.72,11.79,32.21,64.86,108.41,160.57
95.25,13.61,34.93,68.49,113.4,166.47
99.79,14.97,37.65,72.57,118.39,172.37
104.33,16.78,40.37,76.2,122.92,178.26
108.86,18.6,43.09,79.83,127.46,183.7
113.4,20.41,45.81,83.46,132,189.15
117.93,22.23,48.53,87.09,136.53,194.59
122.47,24.04,51.26,90.26,141.07,199.58
127.01,25.85,53.52,93.89,145.15,204.57
131.54,27.22,56.25,97.07,149.23,209.56
136.08,29.03,58.51,100.24,153.31,214.55
140.61,30.84,61.23,103.87,157.4,219.09
