BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,5.44,18.14,38.56,66.68,101.15
54.43,7.26,20.87,43.09,72.57,107.95
58.97,9.07,24.04,47.17,78.02,114.31
63.5,10.89,26.76,50.8,83.01,120.66
68.04,12.7,29.48,54.88,88,126.55
72.57,14.51,32.21,58.51,92.53,132
77.11,16.33,34.93,62.14,97.07,137.44
81.65,18.14,37.65,65.77,101.6,142.88
86.18,19.96,40.37,68.95,105.69,147.87
90.72,21.77,43.09,72.57,109.77,152.41
95.25,23.59,45.36,75.75,113.85,157.4
99.79,25.4,47.63,78.93,117.48,161.93
104.33,27.22,50.35,82.1,121.11,166.01
108.86,29.03,52.62,84.82,124.74,170.55
113.4,30.39,54.88,88,128.37,174.63
117.93,32.21,57.15,90.72,132,178.72
122.47,34.02,59.42,93.44,135.17,182.34
127.01,35.38,61.69,96.16,138.35,186.43
131.54,37.19,63.5,98.88,141.52,190.06
136.08,39.01,65.77,101.6,144.7,193.68
140.61,40.37,67.59,103.87,147.87,196.86
