BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,39.92,78.02,131.09,198.22,275.33
54.43,48.53,89.81,146.51,217.27,297.56
58.97,57.15,101.6,161.48,235.41,318.88
63.5,65.77,112.94,175.99,252.65,338.83
68.04,74.84,124.28,190.06,269.43,358.34
72.57,83.46,135.62,203.66,285.76,376.94
77.11,91.63,146.06,216.82,301.19,394.63
81.65,100.24,156.94,229.52,316.15,411.86
86.18,108.41,166.92,242.22,330.67,428.64
90.72,116.57,177.35,254.01,345.18,444.52
95.25,124.74,187.33,265.81,358.79,460.4
99.79,132.45,196.86,277.6,371.95,475.36
104.33,140.61,206.38,288.94,385.1,489.88
108.86,148.32,215.46,299.82,397.8,504.39
113.4,155.58,224.53,310.26,410.05,518
117.93,163.29,233.6,320.69,422.29,531.61
122.47,170.55,242.22,331.12,433.63,544.76
127.01,177.81,250.84,341.1,445.43,557.47
131.54,184.61,259.45,351.08,456.31,570.17
136.08,191.87,267.62,360.61,467.2,582.41
140.61,198.67,275.78,370.13,478.09,594.21
