BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,34.02,53.07,78.47,107.95,141.07
54.43,40.37,61.23,88,119.75,154.22
58.97,46.72,69.4,97.52,130.63,166.47
63.5,53.52,77.11,106.59,141.07,178.72
68.04,59.87,84.82,115.67,151.5,190.06
72.57,66.22,92.08,124.28,161.48,201.4
77.11,72.12,99.79,132.9,171,211.83
81.65,78.47,106.59,141.07,180.53,222.26
86.18,84.37,113.85,149.23,189.6,232.24
90.72,90.26,120.66,156.94,198.22,242.22
95.25,96.16,127.46,164.65,206.84,251.74
99.79,101.6,133.81,171.91,215,260.82
104.33,107.5,140.16,179.17,223.17,269.43
108.86,112.94,146.51,186.43,231.33,278.51
113.4,118.39,152.86,193.23,239.04,286.67
117.93,123.83,158.76,200.03,246.3,294.84
122.47,128.82,164.65,206.84,253.56,303
127.01,133.81,170.55,213.19,260.82,310.71
131.54,139.25,175.99,219.54,268.07,318.42
136.08,144.24,181.89,225.89,274.88,326.13
140.61,148.78,187.33,232.24,281.68,333.39
