BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,28.12,41.73,58.97,79.38,101.6
54.43,31.75,46.72,64.86,86.18,108.86
58.97,35.83,51.26,70.31,92.08,116.12
63.5,39.46,55.79,75.3,97.98,122.47
68.04,43.09,59.87,80.29,103.87,128.82
72.57,46.72,63.96,85.28,109.32,135.17
77.11,50.35,68.04,89.81,114.31,141.07
81.65,53.52,72.12,94.35,119.75,146.51
86.18,56.7,75.75,98.88,124.28,151.95
90.72,59.87,79.38,102.97,129.27,157.4
95.25,63.05,83.01,107.05,133.81,162.39
99.79,66.22,86.64,111.13,138.35,166.92
104.33,69.4,90.26,114.76,142.43,171.91
108.86,72.12,93.44,118.84,146.96,176.45
113.4,75.3,96.62,122.47,151.05,180.98
117.93,78.02,99.79,126.1,155.13,185.52
122.47,80.74,102.97,129.27,158.76,189.6
127.01,83.46,106.14,132.9,162.39,193.68
131.54,86.18,109.32,136.08,166.47,197.77
136.08,88.45,112.04,139.25,170.1,201.85
140.61,91.17,114.76,142.88,173.27,205.48
