BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,7.26,21.32,44.45,75.75,113.4
54.43,9.98,26.31,51.26,84.82,124.28
58.97,13.15,31.3,58.06,93.44,134.72
63.5,16.78,36.29,64.86,102.06,144.7
68.04,19.96,41.28,71.21,110.22,154.67
72.57,23.59,45.81,78.02,117.93,164.2
77.11,26.76,50.8,83.91,125.65,172.82
81.65,30.39,55.79,90.26,132.9,181.89
86.18,34.02,60.33,96.16,140.16,190.06
90.72,37.65,64.86,102.06,147.42,198.67
95.25,40.82,69.85,107.95,154.22,206.38
99.79,44.45,74.39,113.4,161.03,214.1
104.33,48.08,78.47,118.84,167.38,221.81
108.86,51.26,83.01,124.28,174.18,229.06
113.4,54.88,87.54,129.73,180.08,236.32
117.93,58.06,91.63,134.72,186.43,243.13
122.47,61.69,95.71,139.71,192.32,249.93
127.01,64.86,99.79,144.7,198.22,256.73
131.54,68.04,103.87,149.69,203.66,263.08
136.08,71.21,107.95,154.67,209.56,269.43
140.61,74.84,112.04,159.21,215,275.78
