BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,22.23,35.38,51.71,71.67,93.44
54.43,26.76,40.82,58.51,79.38,102.51
58.97,31.3,46.27,64.86,86.64,110.68
63.5,35.38,51.26,71.21,93.89,118.84
68.04,39.92,56.25,77.11,100.7,126.55
72.57,44,61.23,83.01,107.5,133.81
77.11,48.08,66.22,88.45,113.85,141.07
81.65,52.16,71.21,93.89,120.2,148.32
86.18,56.25,75.75,99.34,126.1,154.67
90.72,60.33,80.29,104.78,132,161.48
95.25,63.96,84.82,109.77,137.89,167.83
99.79,68.04,89.36,114.76,143.79,173.73
104.33,71.67,93.44,119.75,149.23,180.08
108.86,75.3,97.98,124.28,154.22,185.97
113.4,78.93,102.06,129.27,159.66,191.42
117.93,82.55,106.14,133.81,164.65,196.86
122.47,86.18,110.22,138.35,169.64,202.3
127.01,89.81,113.85,142.43,174.18,207.75
131.54,92.99,117.93,146.96,179.17,212.73
136.08,96.16,121.56,151.05,183.7,217.72
140.61,99.79,125.19,155.13,188.24,222.71
