BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,9.07,24.49,48.08,80.29,118.84
54.43,11.34,28.12,53.52,87.54,127.01
58.97,13.61,31.75,58.97,93.89,135.17
63.5,16.33,35.38,63.96,100.24,142.43
68.04,18.6,39.01,68.49,106.14,149.69
72.57,21.32,42.64,73.48,112.04,156.49
77.11,23.59,46.27,78.02,117.48,163.29
81.65,26.31,49.9,82.1,122.92,169.64
86.18,28.58,53.07,86.64,128.37,175.54
90.72,30.84,56.25,90.72,133.36,181.44
95.25,33.57,59.42,94.8,138.35,187.33
99.79,35.83,62.6,98.88,142.88,192.78
104.33,38.1,65.77,102.51,147.42,198.22
108.86,40.37,68.49,106.14,151.95,203.21
113.4,42.64,71.67,109.77,156.49,208.2
117.93,44.91,74.39,113.4,160.57,213.19
122.47,47.17,77.11,117.03,164.65,218.18
127.01,49.44,80.29,120.2,168.74,222.71
131.54,51.26,83.01,123.83,172.82,227.25
136.08,53.52,85.73,127.01,176.45,231.79
140.61,55.79,88,130.18,180.53,235.87
