BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,8.16,19.5,36.74,59.42,86.18
54.43,9.53,21.77,40.37,63.96,91.63
58.97,11.34,24.49,43.54,68.04,96.62
63.5,13.15,26.76,46.72,72.12,101.6
68.04,14.51,29.48,49.9,76.2,106.14
72.57,16.33,31.75,53.07,79.83,110.68
77.11,18.14,34.02,55.79,83.46,114.76
81.65,19.5,36.29,58.51,86.64,118.84
86.18,21.32,38.1,61.69,90.26,122.47
90.72,22.68,40.37,63.96,93.44,126.55
95.25,24.49,42.64,66.68,96.62,130.18
99.79,25.85,44.45,69.4,99.34,133.36
104.33,27.22,46.27,71.67,102.51,136.98
108.86,29.03,48.08,73.94,105.23,140.16
113.4,30.39,50.35,76.2,107.95,143.34
117.93,31.75,52.16,78.47,110.68,146.51
122.47,33.11,53.98,80.74,113.4,149.23
127.01,34.47,55.34,83.01,115.67,152.41
131.54,35.83,57.15,84.82,118.39,155.13
136.08,37.19,58.97,87.09,120.66,157.85
140.61,38.56,60.78,88.9,122.92,160.57
