BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,13.61,21.77,32.21,44.45,58.51
54.43,15.88,24.04,35.38,48.08,62.6
58.97,17.69,26.76,38.1,51.71,66.22
63.5,19.5,29.03,40.82,54.88,69.85
68.04,21.32,31.3,43.54,58.06,73.48
72.57,23.13,33.57,46.27,60.78,76.66
77.11,24.95,35.38,48.53,63.96,80.29
81.65,26.76,37.65,51.26,66.68,83.01
86.18,28.58,39.46,53.52,69.4,86.18
90.72,29.94,41.73,55.79,71.67,88.9
95.25,31.75,43.54,58.06,74.39,91.63
99.79,33.57,45.36,59.87,76.66,94.35
104.33,34.93,47.17,62.14,78.93,97.07
108.86,36.29,48.99,63.96,81.19,99.79
113.4,38.1,50.8,66.22,83.46,102.06
117.93,39.46,52.62,68.04,85.73,104.33
122.47,40.82,53.98,69.85,88,107.05
127.01,42.18,55.79,71.67,89.81,109.32
131.54,43.54,57.15,73.48,92.08,111.13
136.08,44.91,58.97,75.3,93.89,113.4
140.61,46.27,60.33,77.11,95.71,115.67
