BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,51.26,75.3,105.23,140.16,177.81
54.43,58.97,84.37,115.67,152.41,191.87
58.97,66.22,92.99,126.1,164.2,205.02
63.5,73.48,101.6,136.08,175.54,217.72
68.04,80.74,110.22,145.6,186.43,229.97
72.57,87.54,117.93,155.13,196.86,241.31
77.11,94.35,126.1,163.75,206.84,252.65
81.65,101.15,133.81,172.82,216.82,263.08
86.18,107.5,141.07,180.98,225.89,273.52
90.72,113.85,148.32,189.15,235.41,283.5
95.25,119.75,155.13,197.31,244.03,293.47
99.79,126.1,161.93,205.02,252.65,303
104.33,132,168.74,212.28,260.82,312.07
108.86,137.89,175.54,219.54,268.98,320.69
113.4,143.34,181.89,226.8,277.14,329.31
117.93,148.78,188.24,234.05,284.86,337.93
122.47,154.22,194.14,240.86,292.11,346.09
127.01,159.66,200.03,247.21,299.37,353.8
131.54,165.11,205.93,254.01,306.63,361.97
136.08,170.1,211.83,260.36,313.89,369.22
140.61,175.09,217.27,266.26,320.69,376.94
