BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,0.91,4.99,12.7,23.59,37.19
54.43,1.36,5.9,14.06,25.85,39.92
58.97,1.81,7.26,15.42,27.67,42.18
63.5,2.72,8.16,16.78,29.48,44.45
68.04,3.18,9.07,18.14,31.3,46.27
72.57,3.63,9.98,19.5,32.66,48.53
77.11,4.08,10.89,20.87,34.47,50.35
81.65,4.54,11.79,22.23,35.83,52.16
86.18,5.44,12.25,23.13,37.65,53.98
90.72,5.9,13.15,24.49,39.01,55.79
95.25,6.35,14.06,25.4,40.37,57.61
99.79,6.8,14.97,26.76,41.73,59.42
104.33,7.26,15.88,27.67,43.09,60.78
108.86,8.16,16.33,28.58,44.45,62.14
113.4,8.62,17.24,29.94,45.81,63.96
117.93,9.07,18.14,30.84,46.72,65.32
122.47,9.53,18.6,31.75,48.08,66.68
127.01,9.98,19.5,32.66,48.99,68.04
131.54,10.43,20.41,33.57,50.35,69.4
136.08,11.34,20.87,34.47,51.26,70.76
140.61,11.79,21.77,35.38,52.62,72.12
