BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,4.08,13.61,28.58,49.9,75.3
54.43,5.44,15.88,32.21,54.43,80.74
58.97,7.26,18.14,35.83,58.97,86.18
63.5,8.62,20.87,39.01,63.05,91.17
68.04,9.98,23.13,42.18,67.13,96.16
72.57,11.79,25.4,45.36,71.21,101.15
77.11,13.15,27.67,48.53,74.84,105.69
81.65,14.97,29.94,51.26,78.47,109.77
86.18,16.33,32.21,54.43,82.1,113.85
90.72,18.14,34.47,57.15,85.73,117.93
95.25,19.5,36.29,59.87,88.9,122.02
99.79,20.87,38.56,62.6,92.08,125.65
104.33,22.68,40.37,64.86,95.25,129.73
108.86,24.04,42.64,67.59,98.43,132.9
113.4,25.4,44.45,69.85,101.15,136.53
117.93,27.22,46.72,72.57,104.33,140.16
122.47,28.58,48.53,74.84,107.05,143.34
127.01,29.94,50.35,77.11,109.77,146.51
131.54,31.3,52.16,79.38,112.49,149.69
136.08,32.66,53.98,81.65,115.21,152.86
140.61,34.02,55.79,83.91,117.93,155.58
