BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,36.74,74.84,129.27,198.22,277.14
54.43,44.91,86.18,143.79,216.36,298.92
58.97,53.07,97.52,158.3,233.6,319.33
63.5,61.23,108.41,172.37,250.38,338.83
68.04,69.4,119.29,185.52,266.71,357.88
72.57,77.56,129.73,198.67,282.13,375.57
77.11,85.73,140.16,211.37,297.56,393.26
81.65,93.44,150.14,223.62,312.07,409.59
86.18,101.15,159.66,235.41,326.13,425.92
90.72,108.86,169.64,247.21,339.74,441.35
95.25,116.57,178.72,258.55,352.89,456.77
99.79,123.83,188.24,269.43,365.6,471.28
104.33,131.09,196.86,280.32,378.3,485.34
108.86,138.35,205.93,290.75,390.54,498.95
113.4,145.6,214.55,301.19,402.34,512.56
117.93,152.41,222.71,311.16,413.68,525.71
122.47,159.21,231.33,320.69,425.02,537.96
127.01,166.01,239.5,330.22,435.9,550.66
131.54,172.82,247.21,339.74,446.79,562.45
136.08,179.17,254.92,348.81,457.22,574.25
140.61,185.97,262.63,357.88,467.65,586.04
