BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,6.8,21.77,45.36,78.02,117.03
54.43,9.98,26.76,52.62,87.09,128.37
58.97,13.15,31.75,59.42,96.16,139.25
63.5,16.33,36.74,66.22,104.78,149.69
68.04,19.96,41.73,73.03,113.4,159.66
72.57,23.59,46.72,79.83,121.56,169.19
77.11,27.22,51.71,86.18,129.27,178.72
81.65,30.84,56.7,92.53,136.98,187.79
86.18,34.47,61.69,98.88,144.7,196.86
90.72,38.1,66.68,104.78,151.95,205.02
95.25,41.73,71.21,110.68,159.21,213.64
99.79,45.36,75.75,116.57,166.01,221.35
104.33,48.53,80.74,122.47,172.82,229.52
108.86,52.16,85.28,127.91,179.62,237.23
113.4,55.79,89.81,133.36,185.97,244.49
117.93,59.42,93.89,138.8,192.32,251.74
122.47,62.6,98.43,144.24,198.67,259
127.01,66.22,102.51,149.23,204.57,265.81
131.54,69.4,107.05,154.22,210.47,272.61
136.08,73.03,111.13,159.21,216.36,278.96
140.61,76.2,115.21,164.2,222.26,285.76
