BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,24.04,38.1,56.7,78.93,103.42
54.43,28.58,43.54,63.5,86.64,112.49
58.97,32.66,48.99,69.85,94.35,120.66
63.5,37.19,54.43,76.2,101.6,129.27
68.04,41.28,59.42,82.1,108.41,136.98
72.57,45.81,64.86,88,115.21,144.7
77.11,49.9,69.4,93.89,122.02,151.95
81.65,53.98,74.39,99.34,127.91,158.76
86.18,58.06,78.93,104.78,134.26,165.56
90.72,61.69,83.46,110.22,140.16,172.37
95.25,65.77,88,115.21,146.06,178.72
99.79,69.4,92.53,120.2,151.5,185.07
104.33,73.03,96.62,125.19,156.94,190.96
108.86,76.66,101.15,129.73,162.39,196.86
113.4,80.29,105.23,134.72,167.83,202.76
117.93,83.91,109.32,139.25,172.82,208.2
122.47,87.54,112.94,143.79,177.81,213.64
127.01,90.72,117.03,147.87,182.34,219.09
131.54,94.35,120.66,151.95,187.33,224.07
136.08,97.52,124.28,156.49,191.87,229.06
140.61,100.7,127.91,160.57,196.41,234.05
