BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,0,7.71,28.12,61.23,104.78
54.43,0.45,9.98,32.21,67.13,112.94
58.97,0.91,12.25,36.29,73.03,120.2
63.5,1.81,14.51,39.92,78.47,127.46
68.04,2.72,16.78,44,83.91,134.26
72.57,3.63,19.05,47.63,89.36,141.07
77.11,4.99,21.77,51.71,94.35,147.42
81.65,5.9,24.04,55.34,99.34,153.31
86.18,7.26,26.31,58.51,103.87,159.21
90.72,8.62,28.58,62.14,108.41,164.65
95.25,9.98,30.84,65.77,112.94,170.55
99.79,11.34,33.11,68.95,117.48,175.54
104.33,12.7,35.38,72.12,121.56,180.98
108.86,14.06,37.65,75.3,125.65,185.97
113.4,15.42,39.92,78.47,129.73,190.51
117.93,16.78,42.18,81.65,133.81,195.5
122.47,18.14,44.45,84.37,137.44,200.03
127.01,19.5,46.27,87.54,141.07,204.57
131.54,20.87,48.53,90.26,144.7,209.11
136.08,22.23,50.35,92.99,148.32,213.19
140.61,23.59,52.62,95.71,151.95,217.27
