Age,Beg.,Nov.,Int.,Adv.,Elite
15,26.19,44.73,69.38,99.12,133.06
20,29.63,51.00,79.23,113.68,152.30
25,30.49,52.26,81.28,116.51,155.90
30,30.49,52.26,81.28,116.51,155.90
35,30.49,52.26,81.28,116.51,155.90
40,30.49,52.26,81.28,116.51,155.90
45,29.19,49.75,77.18,110.44,147.89
50,27.05,46.82,72.67,103.97,139.07
55,25.33,43.06,66.92,95.88,128.65
60,23.18,39.30,61.17,87.79,117.42
65,20.61,35.54,55.42,79.29,105.81
70,18.46,31.77,49.67,71.20,94.98
75,16.74,28.42,44.34,63.51,84.96
80,15.03,25.50,39.82,56.64,76.15
85,13.31,22.99,35.71,50.97,68.13
90,12.02,20.49,32.02,45.72,61.32
