BW,Beg.,Nov.,Int.,Adv.,Elite
49.9,16.19,31.66,53.15,80.30,110.99
54.43,19.16,35.83,58.46,86.36,118.17
58.97,21.71,39.58,62.96,92.01,124.96
63.5,24.70,43.32,67.87,97.65,131.35
68.04,27.25,46.66,72.37,102.90,137.34
72.57,30.24,50.41,76.45,108.14,142.93
77.11,32.79,53.74,80.54,112.99,148.52
81.65,35.35,57.07,84.63,117.83,154.11
86.18,37.90,60.41,88.31,122.27,159.29
90.72,40.45,63.33,92.40,126.71,164.09
95.25,43.01,66.24,96.08,130.74,168.88
99.79,45.56,69.57,99.35,134.78,173.67
104.33,48.12,72.49,103.03,138.82,178.06
108.86,50.25,74.99,106.30,142.85,182.45
113.4,52.81,77.90,109.57,146.48,186.84
117.93,54.93,80.82,112.84,150.12,190.84
122.47,57.06,83.32,115.71,153.75,194.83
127.01,59.19,85.82,118.98,157.38,198.82
131.54,61.32,88.74,121.84,160.60,202.41
136.08,63.45,91.24,124.70,163.83,206.41
140.61,65.58,93.32,127.56,167.46,210.00
