Age,Beg.,Nov.,Int.,Adv.,Elite
15,42.54,62.83,88.65,118.60,151.71
20,48.41,71.60,101.32,135.61,173.59
25,49.88,73.54,104.24,139.50,177.97
30,49.88,73.54,104.24,139.50,177.97
35,49.88,73.54,104.24,139.50,177.97
40,49.88,73.54,104.24,139.50,177.97
45,47.43,70.14,98.88,132.21,169.22
50,44.50,65.75,92.55,123.95,158.52
55,41.07,60.88,85.73,114.71,146.84
60,37.66,55.52,78.43,104.50,133.72
65,33.74,50.17,70.63,94.78,121.07
70,30.31,44.81,63.33,85.06,108.43
75,27.38,39.93,56.51,75.83,97.25
80,24.45,36.05,50.65,68.05,87.04
85,21.52,32.15,45.30,60.76,77.80
90,19.56,29.23,40.91,54.93,70.02
